min_wage,max_wage,description,
43000,53000,выполняющий строительные работы на объектах различной сложности.,
44000,54000,отвечающий за поддержание положительного имиджа компании через взаимодействие с общественностью и СМИ.,
45000,55000,проводящий экскурсии для туристов на различных языках.,
46000,56000,занимающийся разработкой новых моделей самолетов или компонентов для авиационной промышленности.,
47000,57000,отвечающий за создание и управление контентом на веб-сайте или в социальных медиа.,
48000,58000,осуществляющий монтаж электрического оборудования и проводку в зданиях или сооружениях.,
49000,59000,презентующий лекарственные препараты медицинским работникам и проводящий обучение по их применению.,
50000,60000,создающий проекты благоустройства парков,скверов и других зеленых зон.
51000,61000,создающий уникальный контент на различные тематики для заказчиков.,
52000,62000,занимающийся разработкой встраиваемых систем и управляющих устройств.,
53000,63000,проверяющий функциональность и качество программных продуктов.,
54000,64000,оценивающий финансовые и операционные риски компании и предлагающий стратегии их управления.,
55000,65000,обеспечивающий стабильную работу компьютерных сетей и коммуникаций.,
56000,66000,управляющий отношениями с крупными заказчиками компании.,
57000,67000,координирующий работу дизайнеров и создающий концепции визуального образа продуктов или бренда.,
58000,68000,предоставляющий клиентам консультации по инвестициям,планированию финансов и управлению активами.
59000,69000,проводящий анализы и исследования в медицинской лаборатории.,
60000,70000,собирающий и анализирующий данные о рынке для выявления потребностей клиентов и трендов.,
61000,71000,отвечающий за техническую стратегию развития компании и координацию технических процессов.,
62000,72000,осуществляющий закупку товаров и услуг для компании,а также ведущий переговоры с поставщиками.
63000,73000,отвечающий за ведение кадрового учета,подбор персонала и администрирование кадровых процессов.
64000,74000,занимающийся изучением геологической структуры месторождений полезных ископаемых.,
65000,75000,создающий техническую документацию для программного обеспечения и информационных систем.,
66000,76000,оказывающий помощь пациентам с психологическими проблемами и нарушениями.,
67000,77000,отвечающий за планирование и организацию транспортных и складских процессов.,
68000,78000,создающий игровые сценарии,персонажей и игровые уровни.
69000,79000,проводящий аудиты безопасности информационных систем и разрабатывающий меры по защите данных.,
70000,80000,отвечающий за разработку новых продуктов или услуг на основе инновационных технологий.,
71000,81000,занимающийся поиском и подбором персонала для компании на основе требований заказчика.,
72000,82000,оптимизирующий бизнес-процессы компании через анализ и внедрение эффективных решений.,
73000,83000,занимающийся проектированием и разработкой механических систем и устройств.,
74000,84000,отвечающий за разработку и управление жизненным циклом продукта.,
75000,85000,организующий туристические услуги и обеспечивающий комфортное путешествие клиентов.,
76000,86000,создающий дизайн-проекты жилых и коммерческих помещений.,
77000,87000,занимающийся проектированием и обслуживанием энергетических систем.,
78000,88000,создающий контент для продвижения продуктов или услуг компании в онлайн-среде.,
79000,89000,проверяющий функциональность и надежность аппаратных устройств.,
80000,90000,занимающийся поиском новых партнеров и клиентов для компании.,
81000,91000,занимающийся изучением подземных вод и геологических условий для строительства объектов.,
82000,92000,оптимизирующий информационные системы для медицинских учреждений.,
83000,93000,ответственный за продажу продукции или услуг компании корпоративным клиентам.,
84000,94000,анализирующий финансовые данные для принятия стратегических решений компанией.,
85000,95000,разрабатывающий автоматизированные системы управления производством.,
86000,96000,занимающийся планированием карьерного роста сотрудников и обучением персонала.,
87000,97000,оптимизирующий информационные системы для финансовых учреждений.,
88000,98000,занимающийся проектированием систем водоснабжения и канализации.,
89000,99000,анализирующий рыночные цены на товары или услуги компании для принятия ценовых решений.,
90000,100000,разрабатывающий проекты систем отопления и горячего водоснабжения.,
91000,101000,занимающийся организацией экспортных операций компании на международном рынке.,
92000,102000,анализирующий данные для оптимизации маркетинговых кампаний компании.,
93000,103000,анализирующий рыночные цены на товары или услуги компании для принятия ценовых решений.,
94000,104000,разрабатывающий проекты систем отопления и горячего водоснабжения.,
95000,105000,занимающийся организацией экспортных операций компании на международном рынке.,
96000,106000,анализирующий данные для оптимизации маркетинговых кампаний компании.,
97000,107000,оптимизирующий бизнес-процессы компании через анализ и внедрение эффективных решений.,
98000,108000,занимающийся проектированием и разработкой механических систем и устройств.,
99000,109000,отвечающий за разработку и управление жизненным циклом продукта.,
100000,110000,организующий туристические услуги и обеспечивающий комфортное путешествие клиентов.,
101000,111000,создающий дизайн-проекты жилых и коммерческих помещений.,
102000,112000,занимающийся проектированием и обслуживанием энергетических систем.,
